,Threshold,Detection_rate,Hit_rate
0,0.0,1.0,0.00997398091934085
1,0.01,0.4349522983521249,0.01794616151545364
2,0.02,0.3026886383347788,0.025787965616045846
3,0.03,0.2194275802254987,0.03557312252964427
4,0.04,0.15611448395490027,0.05
5,0.05,0.11058109280138768,0.06666666666666667
6,0.06,0.08542931483087597,0.07614213197969544
7,0.07,0.06808326105810927,0.08917197452229299
8,0.08,0.05333911535125759,0.10569105691056911
9,0.09,0.03946227233304423,0.12087912087912088
10,0.1,0.026019080659150044,0.13333333333333333
11,0.11,0.013009540329575022,0.16666666666666666
12,0.12,0.004770164787510842,0.18181818181818182
13,0.13,0.0008673026886383347,0.0
14,0.14,0.0,
15,0.15,0.0,
16,0.16,0.0,
17,0.17,0.0,
18,0.18,0.0,
19,0.19,0.0,
20,0.2,0.0,
21,0.21,0.0,
22,0.22,0.0,
23,0.23,0.0,
24,0.24,0.0,
25,0.25,0.0,
26,0.26,0.0,
27,0.27,0.0,
28,0.28,0.0,
29,0.29,0.0,
30,0.3,0.0,
31,0.31,0.0,
32,0.32,0.0,
33,0.33,0.0,
34,0.34,0.0,
35,0.35000000000000003,0.0,
36,0.36,0.0,
37,0.37,0.0,
38,0.38,0.0,
39,0.39,0.0,
